Seed,Gen,MaxFitness,MinFitness,AvgFitness
1,0,0.0836513,0.0236141,0.04198
1,1,0.0768107,0.0402823,0.0498627
1,2,0.0824125,0.0526912,0.0615352
1,3,0.0976001,0.0585011,0.0679248
1,4,0.11261,0.0691143,0.0783114
1,5,0.115106,0.0787108,0.0933926
1,6,0.12108,0.0955922,0.101514
1,7,0.133021,0.0999592,0.110524
1,8,0.13786,0.110992,0.118404
1,9,0.142358,0.117544,0.126946
1,10,0.173404,0.126334,0.133363
1,11,0.193135,0.132453,0.143237
1,12,0.205211,0.138404,0.154597
1,13,0.221464,0.153543,0.173911
1,14,0.226783,0.17135,0.189365
1,15,0.286708,0.193743,0.20995
1,16,0.28458,0.205895,0.222098
1,17,0.28695,0.212081,0.230736
1,18,0.285789,0.229174,0.242235
1,19,0.329786,0.234352,0.254343
1,20,0.339714,0.255674,0.273795
1,21,0.343978,0.274006,0.296911
1,22,0.363797,0.304045,0.323884
1,23,0.369672,0.328654,0.336512
1,24,0.404678,0.332423,0.348106
1,25,0.429622,0.334954,0.363788
1,26,0.435884,0.3647,0.39351
1,27,0.481795,0.384968,0.413379
1,28,0.502537,0.404352,0.435445
1,29,0.560825,0.419721,0.455723
1,30,0.565054,0.458749,0.485132
1,31,0.578351,0.469586,0.495977
1,32,0.581499,0.480697,0.534433
1,33,0.591047,0.554697,0.567027
1,34,0.596613,0.561045,0.572765
1,35,0.606994,0.563999,0.577305
1,36,0.614395,0.566987,0.583228
1,37,0.622286,0.580779,0.593757
1,38,0.633256,0.583739,0.599864
1,39,0.633549,0.593944,0.607024
1,40,0.68626,0.599801,0.615203
1,41,0.682177,0.613772,0.628236
1,42,0.675804,0.616347,0.635481
1,43,0.694675,0.634751,0.651502
1,44,0.71094,0.646967,0.661505
1,45,0.727789,0.658118,0.676413
1,46,0.736743,0.672903,0.695483
1,47,0.738979,0.695475,0.713451
1,48,0.754235,0.699532,0.717712
1,49,0.748735,0.701981,0.721187
1,50,0.748119,0.713609,0.730281
1,51,0.770163,0.714658,0.734091
1,52,0.770269,0.718778,0.739246
1,53,0.77405,0.7245,0.743004
1,54,0.788564,0.736823,0.752552
1,55,0.784688,0.739268,0.75773
1,56,0.807319,0.757238,0.775409
1,57,0.814543,0.75627,0.777694
1,58,0.81462,0.768496,0.788189
1,59,0.837332,0.77771,0.798445
1,60,0.83765,0.783157,0.801481
1,61,0.850006,0.78125,0.802371
1,62,0.84887,0.794405,0.819008
1,63,0.886395,0.809203,0.828296
1,64,0.857627,0.807443,0.826436
1,65,0.88967,0.805939,0.832027
1,66,0.892616,0.819916,0.848052
1,67,0.906433,0.844581,0.869554
1,68,0.898701,0.845841,0.866717
1,69,0.903783,0.857543,0.87688
1,70,0.905103,0.855028,0.876578
1,71,0.902061,0.852975,0.87822
1,72,0.90736,0.85775,0.881307
1,73,0.906044,0.860274,0.879996
1,74,0.910307,0.857841,0.879746
1,75,0.913691,0.85917,0.880253
1,76,0.911576,0.860821,0.882396
1,77,0.9158,0.859289,0.882687
1,78,0.915862,0.862298,0.8865
1,79,0.933673,0.864547,0.890585
1,80,0.910163,0.861331,0.885195
1,81,0.913624,0.86125,0.883427
1,82,0.918912,0.871092,0.892409
1,83,0.925916,0.866451,0.892203
1,84,0.939378,0.874488,0.899391
1,85,0.942172,0.880151,0.903083
1,86,0.930176,0.882618,0.901622
1,87,0.936461,0.88258,0.904447
1,88,0.942651,0.890149,0.908378
1,89,0.947173,0.888063,0.913286
1,90,0.943015,0.887861,0.915244
1,91,0.947371,0.896901,0.920067
1,92,0.941589,0.894956,0.915767
1,93,0.943652,0.888765,0.915415
1,94,0.94952,0.894628,0.923081
1,95,0.944144,0.890316,0.915642
1,96,0.966994,0.896616,0.920967
1,97,0.945919,0.895817,0.919704
1,98,0.96303,0.906081,0.928907
1,99,0.962279,0.903994,0.930477
1,100,0.968947,0.917207,0.937568
2,0,0.12755,0.0269597,0.0438999
