Seed,Gen,MaxFitness,MinFitness,AvgFitness
1,0,0.0836513,0.0236141,0.04198
1,1,0.0798484,0.0261478,0.045496
1,2,0.0691155,0.0261635,0.0521624
1,3,0.116255,0.0322725,0.0564101
1,4,0.0744766,0.0362582,0.0563516
1,5,0.0730654,0.0346177,0.0518021
1,6,0.0734224,0.0290462,0.0522787
1,7,0.0840502,0.0296594,0.0534502
1,8,0.0720918,0.038463,0.0545429
1,9,0.0787359,0.0416004,0.0616291
1,10,0.0830453,0.0384699,0.0653819
1,11,0.0951235,0.0392098,0.0737564
1,12,0.0966722,0.0579358,0.0749243
1,13,0.0918112,0.0505095,0.0739017
1,14,0.0937407,0.0530568,0.0726401
1,15,0.0884878,0.053834,0.0734867
1,16,0.113032,0.0501703,0.074116
1,17,0.0972726,0.0551752,0.0742091
1,18,0.103072,0.0466522,0.0749555
1,19,0.107445,0.0526421,0.0819907
1,20,0.107895,0.0680304,0.0887583
1,21,0.116928,0.0614913,0.088537
1,22,0.117503,0.0684381,0.088953
1,23,0.116062,0.0676338,0.0892206
1,24,0.116107,0.0565865,0.0900851
1,25,0.120485,0.0640035,0.0959817
1,26,0.165629,0.069229,0.0949857
1,27,0.140083,0.0633332,0.100887
1,28,0.163107,0.0782067,0.108332
1,29,0.163251,0.0766467,0.105795
1,30,0.161077,0.078203,0.110156
1,31,0.1727,0.0654903,0.10448
1,32,0.144934,0.0654903,0.10214
1,33,0.195447,0.0655559,0.115137
1,34,0.194347,0.0637263,0.123935
1,35,0.193799,0.0575572,0.130805
1,36,0.193179,0.109677,0.142443
1,37,0.198356,0.100425,0.149723
1,38,0.195197,0.0962857,0.157302
1,39,0.197553,0.115009,0.16577
1,40,0.196791,0.0998922,0.160265
1,41,0.204702,0.0949266,0.156349
1,42,0.188081,0.0907164,0.158332
1,43,0.186473,0.0960432,0.159371
1,44,0.18997,0.115686,0.15938
1,45,0.191782,0.119612,0.16566
1,46,0.194659,0.118285,0.168827
1,47,0.19333,0.128249,0.17062
1,48,0.200021,0.102536,0.173621
1,49,0.200725,0.107069,0.176023
1,50,0.203233,0.118103,0.177119
1,51,0.204542,0.106987,0.172864
1,52,0.206708,0.115853,0.17464
1,53,0.223607,0.123574,0.182866
1,54,0.216449,0.141346,0.188212
1,55,0.241637,0.116317,0.190175
1,56,0.235938,0.118932,0.178569
1,57,0.255836,0.101214,0.178719
1,58,0.255814,0.125614,0.192685
1,59,0.247136,0.1038,0.197186
1,60,0.232639,0.105693,0.195424
1,61,0.267677,0.105162,0.201321
1,62,0.284568,0.107622,0.194837
1,63,0.26183,0.0909479,0.185852
1,64,0.264471,0.0988745,0.194296
1,65,0.299776,0.107557,0.215753
1,66,0.278369,0.122948,0.223881
1,67,0.267444,0.108865,0.221773
1,68,0.262259,0.114621,0.225087
1,69,0.270452,0.15929,0.236687
1,70,0.274609,0.130297,0.239623
1,71,0.273094,0.104669,0.225136
1,72,0.293971,0.105698,0.229371
1,73,0.300686,0.125314,0.211176
1,74,0.302176,0.127139,0.239547
1,75,0.317421,0.154764,0.253054
1,76,0.325557,0.161735,0.262395
1,77,0.323536,0.107208,0.257549
1,78,0.325138,0.179251,0.264479
1,79,0.321347,0.149232,0.258912
1,80,0.299863,0.156386,0.253672
1,81,0.348053,0.115499,0.250382
1,82,0.376251,0.121872,0.251941
1,83,0.302209,0.154592,0.260865
1,84,0.297917,0.137559,0.262118
1,85,0.299224,0.105819,0.247325
1,86,0.298474,0.107108,0.24423
1,87,0.296576,0.104137,0.24157
1,88,0.339839,0.105256,0.240346
1,89,0.350529,0.110874,0.229552
1,90,0.29705,0.110145,0.235566
1,91,0.310605,0.128551,0.243505
1,92,0.302066,0.125128,0.239033
1,93,0.316901,0.130962,0.249718
1,94,0.31839,0.0958833,0.244704
1,95,0.319216,0.123198,0.238313
1,96,0.300254,0.107806,0.240591
1,97,0.304393,0.108795,0.254488
1,98,0.316122,0.178097,0.269752
1,99,0.323009,0.127533,0.280336
1,100,0.318305,0.132183,0.267076
2,0,0.12755,0.0269597,0.0438999
2,1,0.0931078,0.0259248,0.0415319
2,2,0.0958847,0.0274857,0.0439064
2,3,0.106604,0.0268367,0.0430199
2,4,0.0667708,0.0302999,0.0464703
2,5,0.0954242,0.0319233,0.0520978
2,6,0.08424,0.0353077,0.0571396
2,7,0.0779973,0.0417187,0.0581727
2,8,0.0817126,0.0404669,0.0559872
2,9,0.0889702,0.0453422,0.0592615
2,10,0.0992804,0.041658,0.0591784
2,11,0.0871633,0.0438339,0.0631033
2,12,0.0818581,0.0417186,0.063941
2,13,0.0826529,0.0509439,0.0671786
2,14,0.0829017,0.0468753,0.0677687
2,15,0.0827943,0.0432834,0.0691453
2,16,0.0848603,0.042808,0.0678323
2,17,0.0902741,0.044881,0.0668631
2,18,0.0916213,0.0348823,0.0688357
2,19,0.0926399,0.0430438,0.0704387
2,20,0.0933138,0.0575845,0.0757761
2,21,0.108489,0.0540331,0.0741763
2,22,0.108739,0.0540877,0.0777875
2,23,0.108611,0.0493435,0.0749746
2,24,0.101254,0.0540734,0.0790851
2,25,0.0922363,0.0508724,0.0789243
2,26,0.101545,0.052941,0.0787765
2,27,0.106474,0.049684,0.0745078
2,28,0.102711,0.0477706,0.0816776
2,29,0.104686,0.0541903,0.0821419
2,30,0.10224,0.0489271,0.0784008
