Seed,Gen,MaxFitness,MinFitness,AvgFitness
2,42,0.749064,0.0900528,0.625422
2,43,0.749064,0.581734,0.661397
2,44,0.749064,0.100735,0.631468
2,45,0.685025,0.565931,0.638512
2,46,0.685025,0.0465224,0.618852
2,47,0.685025,0.0413022,0.629974
2,48,0.685025,0.431518,0.651645
2,49,0.685025,0.613723,0.651861
2,50,0.72812,0.565931,0.647997
2,51,0.685025,0.613723,0.662427
2,52,0.685025,0.613723,0.66051
2,53,0.685025,0.613723,0.659895
2,54,0.706714,0.0365404,0.64481
2,55,0.706714,0.365845,0.632509
2,56,0.747272,0.0910498,0.626308
2,57,0.747719,0.0413022,0.61168
2,58,0.747272,0.122444,0.634965
2,59,0.747272,0.0910498,0.645435
2,60,0.747272,0.0467871,0.643813
2,61,0.747272,0.242966,0.657066
2,62,0.72812,0.0910498,0.636201
2,63,0.773156,0.0452493,0.675817
2,64,0.79885,0.0452493,0.672536
2,65,0.79885,0.632351,0.701869
2,66,0.79885,0.650787,0.694317
2,67,0.79885,0.041588,0.685388
2,68,0.79885,0.0366003,0.695201
2,69,0.786287,0.650787,0.713032
2,70,0.786287,0.335233,0.705042
2,71,0.786287,0.332381,0.697978
2,72,0.773156,0.139373,0.665791
2,73,0.773156,0.0664161,0.670635
2,74,0.773156,0.0452493,0.661316
2,75,0.773156,0.112931,0.674973
2,76,0.752672,0.440025,0.667983
2,77,0.712758,0.319468,0.676358
2,78,0.770772,0.0441186,0.666161
2,79,0.770772,0.650787,0.694788
2,80,0.773156,0.24564,0.691224
2,81,0.772738,0.101192,0.658039
2,82,0.770772,0.101192,0.656152
2,83,0.770772,0.102453,0.658528
2,84,0.770772,0.611621,0.707289
2,85,0.773156,0.124928,0.698263
2,86,0.770772,0.521322,0.71176
2,87,0.770772,0.0941992,0.685325
2,88,0.770772,0.0921234,0.673825
2,89,0.770772,0.638488,0.69366
2,90,0.773156,0.225438,0.687137
2,91,0.773156,0.0366003,0.68764
2,92,0.773156,0.417676,0.692394
2,93,0.773156,0.392866,0.655104
2,94,0.773156,0.0366003,0.663872
2,95,0.773156,0.417676,0.694698
2,96,0.850485,0.041588,0.699571
2,97,0.853388,0.0450017,0.691273
2,98,0.948587,0.331939,0.715868
2,99,0.773156,0.0366003,0.680249
2,100,0.773156,0.123119,0.692559
3,0,0.480723,0.016169,0.0682103
3,1,0.561482,0.019614,0.0863391
3,2,0.669613,0.0437267,0.192652
3,3,0.80109,0.0399283,0.383696
3,4,0.766225,0.0487128,0.508216
3,5,0.766225,0.0885058,0.537073
3,6,0.766225,0.0885058,0.576091
3,7,0.798339,0.0861393,0.63683
3,8,0.77912,0.0448231,0.578228
3,9,0.873286,0.0497525,0.648828
3,10,0.873286,0.459664,0.702869
3,11,0.873286,0.0456882,0.674058
3,12,0.766225,0.120084,0.67308
