Seed,Gen,MaxFitness,MinFitness,AvgFitness,MaxObjVal,MinObjVal,AvgObjVal
1,0,0.893336,0.0193947,0.0708761,0.1194,50.5606,23.9524
1,1,0.906947,0.0815514,0.362619,0.1194,11.2622,4.52002
1,2,0.912242,0.893336,0.898594,0.1194,0.1194,0.112906
1,3,0.976372,0.906947,0.909423,0.1194,0.1026,0.099734
1,4,0.97723,0.906947,0.93338,0.1194,0.1026,0.072366
1,5,0.977517,0.971817,0.975962,0.1194,0.029,0.024632
1,6,0.979144,0.976372,0.976717,0.1194,0.0242,0.023838
1,7,0.992753,0.97723,0.978216,0.1194,0.0233,0.022276
1,8,0.994728,0.979144,0.981378,0.1194,0.0213,0.018996
1,9,0.995917,0.980296,0.988031,0.0041,0.0201,0.012148
1,10,0.995917,0.992753,0.994021,0.0041,0.0073,0.006016
1,11,0.996214,0.995917,0.995923,0.0041,0.0041,0.004094
1,12,0.996214,0.995917,0.995929,0.0038,0.0041,0.004088
1,13,0.997904,0.995917,0.995981,0.0038,0.0041,0.004036
1,14,0.999101,0.995917,0.996189,0.0038,0.0041,0.003826
1,15,0.9995,0.996214,0.997124,0.0038,0.0038,0.002886
1,16,0.9998,0.997904,0.998427,0.0002,0.0021,0.001576
1,17,0.9998,0.999101,0.999342,0.0002,0.0009,0.000658
1,18,0.9998,0.9995,0.99972,0.0002,0.0005,0.00028
1,19,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
1,20,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
1,21,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
1,22,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
1,23,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
1,24,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
1,25,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
1,26,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
1,27,0.9998,0.9998,0.999801,0.0002,0.0005,0.0002
